STATION,NAME,DATE,PGTM,PRCP,SNOW,TMAX,TMIN,TSUN
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/10/2000,1309,0.01,,32,24,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/11/2000,1453,0,,35,24,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/12/2000,1011,0,,43,23,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/13/2000,832,0.01,,44,33,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/14/2000,1332,0.01,,54,29,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/15/2000,1823,0.13,,58,33,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/16/2000,217,0,,36,28,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/17/2000,346,0,,34,28,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/18/2000,120,0,,37,30,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/19/2000,1235,0.23,,38,34,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/20/2000,333,0.72,,45,38,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/21/2000,416,0.01,,50,41,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/22/2000,1511,0,,55,39,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/23/2000,2318,0,,58,36,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/24/2000,907,0.18,,61,44,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/25/2000,1259,0,,59,43,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/26/2000,2037,0.1,,62,37,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/27/2000,1558,0,,55,37,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/28/2000,1714,0.01,,47,32,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/29/2000,1543,0,,43,31,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/30/2000,1217,0,,43,27,
USW00094818,"RACINE BATTEN AIRPORT, WI US",3/31/2000,1539,0.01,,55,29,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/1/2000,924,0.03,,52,43,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/2/2000,1724,0.02,,54,37,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/3/2000,2320,0,,60,39,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/4/2000,401,0,,44,28,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/5/2000,2346,0,,62,26,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/6/2000,438,0,,60,43,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/7/2000,2248,0.49,,48,29,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/8/2000,56,0.08,,39,26,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/9/2000,1031,0,,53,33,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/10/2000,1125,0,,36,32,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/11/2000,1338,0.06,,38,31,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/12/2000,1004,0.04,,44,29,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/13/2000,1244,0,,51,38,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/14/2000,2332,0,,68,42,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/15/2000,2027,0,,63,38,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/16/2000,153,0.05,,43,38,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/17/2000,202,0.04,,39,37,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/18/2000,1806,0,,46,39,
USW00094818,"RACINE BATTEN AIRPORT, WI US",4/19/2000,1304,0.63,,47,39,
