STATION,NAME,DATE,PGTM,PRCP,SNOW,TMAX,TMIN,TSUN
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/6/2000,,0,0,69,43,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/7/2000,,0,0,72,49,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/8/2000,,0.2,0,72,56,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/9/2000,,0.37,0,65,21,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/10/2000,,0,0,33,17,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/11/2000,,0,0,39,21,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/12/2000,,0,0,39,22,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/13/2000,,0,0,38,20,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/14/2000,,0,0,50,27,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/15/2000,,0,0,48,29,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/16/2000,,0,0,31,13,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/17/2000,,0,0,39,16,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/18/2000,,0.02,0,37,32,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/19/2000,,0,0,36,30,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/20/2000,,0,0,44,34,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/21/2000,,0,0,49,38,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/22/2000,,0,0,52,42,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/23/2000,,0,0,62,44,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/24/2000,,0.41,0,60,51,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/25/2000,,0.02,0,55,39,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/26/2000,,0.02,0,59,34,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/27/2000,,0.06,0,46,31,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/28/2000,,0.01,0,49,29,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/29/2000,,0,0,53,26,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/30/2000,,0,0,62,31,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/31/2000,,0,0,60,39,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/1/2000,,0,0,59,38,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/2/2000,,0,0,58,38,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/3/2000,,0.04,0,50,38,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/4/2000,,0,0,49,27,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/5/2000,,0,0,68,36,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/6/2000,,0,0,65,33,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/7/2000,,0,0,49,30,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/8/2000,,0,0,52,24,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/9/2000,,0,0,51,35,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/10/2000,,0,0,50,29,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/11/2000,,0.06,0,44,30,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/12/2000,,0.03,0,43,26,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/13/2000,,0.09,0,63,32,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/14/2000,,0,0,63,41,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/15/2000,,0.07,0,50,31,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/16/2000,,0.29,0,35,30,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/17/2000,,0.01,0,40,31,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/18/2000,,0,0,53,40,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/19/2000,,0.26,0,53,44,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/20/2000,,0.5,0,48,36,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/21/2000,,0.02,0,61,29,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/22/2000,,0,0,77,40,
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/23/2000,,0,0,76,48,
